parameter_name,value,stat_p16,stat_p84,stat_minus,stat_plus,stat_sigma,syst_p16,syst_p84,syst_minus,syst_plus,syst_sigma,total_sigma_quadrature
Nnorm,0.0044564,0.0044564,0.0044564,0.0,0.0,0.0,0.0044564,0.0044564,0.0,0.0,0.0,0.0
P_N2,0.6999999999999998,0.6999999999999684,0.6999999999999998,3.141931159689193e-14,0.0,1.5709655798445965e-14,0.6999999999959555,0.6999999999999998,4.04432043410452e-12,0.0,2.02216021705226e-12,2.0222212383204143e-12
tau_N2,37.80718336483932,37.80718336483932,37.80718336483932,0.0,0.0,0.0,37.80718336483932,37.80718336483932,0.0,0.0,0.0,0.0
K_N2_Q_N2,0.1442626321344395,0.12950382937503827,0.17089015856994672,0.014758802759401224,0.026627526435507226,0.020693164597454225,0.14199824934644084,0.14565230851845284,0.002264382787998648,0.0013896763840133552,0.0018270295860060015,0.020773663571105463
K_N2_Q_Ar,0.0347792789999999,0.028945884306932283,0.03477927899999999,0.005833394693067616,9.020562075079397e-17,0.002916697346533853,0.0347792789996694,0.03477927899999999,3.304995166431013e-13,9.020562075079397e-17,1.6529486113192604e-13,0.002916697346533853
K_ArMeta_Q_N2c,0.8443080956709295,0.2979914750000002,1.191965896351508,0.5463166206709292,0.3476578006805786,0.4469872106757539,0.843068798558573,1.0445612604025922,0.0012392971123564855,0.20025316473166277,0.10074623092200963,0.4582001413713026
K_ArMeta_Q_N2b,0.01959396,0.019593960000000004,0.019593960003563223,3.469446951953614e-18,3.5632226336179684e-12,1.7816130515324602e-12,0.019593960000000004,0.01959396000009655,3.469446951953614e-18,9.654776977896518e-14,4.8275619612958565e-14,1.7822669836025745e-12
K_ArMeta_Q_2Ar,0.0158599999999899,0.007136421410308017,0.01586,0.008723578589681882,1.0099560077136971e-14,0.004361789294845991,0.01585999999848609,0.0158599999999983,1.5038109646425823e-12,8.3995310706797e-15,7.56105247856631e-13,0.004361789294845991
K_ArRes_Q_N2c,1.2491149499999912,1.2491149495911436,1.2491149499999996,4.088476224239912e-10,8.43769498715119e-15,2.0442803005948917e-10,1.2491149499972625,1.2491149499999996,2.7287061499237097e-12,8.43769498715119e-15,1.3685719224554305e-12,2.0443261105584485e-10
K_ArRes_Q_N2b,0.0918466875,0.09184668750000001,0.09184668760938898,1.3877787807814457e-17,1.0938898398205055e-10,5.469449892991918e-11,0.09184668750000001,0.09184668750000859,1.3877787807814457e-17,8.590350653037149e-15,4.3021142204224816e-15,5.469449909911523e-11
K_ArRes_Q_2Ar,0.000788893551131,0.0004620000000000182,0.0010279045617183125,0.0003268935511309818,0.0002390110105873125,0.0002829522808591472,0.0007215677814681063,0.0007806975876600031,6.732576966289377e-05,8.195963470996898e-06,3.7760866566945335e-05,0.0002854608139259754
P_Ar_dbleStar,0.2274793139399036,0.18851798152232688,0.2953402126117091,0.03896133241757671,0.06786089867180553,0.05341111554469112,0.18196462458797374,0.26842914203220186,0.04551468935192984,0.040949828092298274,0.04323225872211406,0.06871517632913528
frac_Ar_dbleStar,0.3167122168883152,0.19090340286917243,0.6926924774083789,0.12580881401914276,0.3759802605200637,0.25089453726960326,0.31805456258406994,0.3899753976975101,0.0013423456957547542,0.07326318080919492,0.037302763252474835,0.2536524491858861
