gas_mixture,kind,pressure_bar,concentration_percent,concentration_fraction,wavelength_nm,intensity_ph_MeV_nm,plot_intensity,raw_plot_scale,normalisation_reference
ArN2,model,1,0.1,0.001,300.0,6.1060447153520294e-18,6.1060447153520294e-18,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,300.25012506253125,1.1354206140261337e-17,1.1354206140261337e-17,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,300.5002501250625,2.1019454443573488e-17,2.1019454443573488e-17,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,300.7503751875938,3.8739496824114644e-17,3.8739496824114644e-17,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,301.00050025012507,7.10811395816895e-17,7.10811395816895e-17,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,301.2506253126563,1.2984423107282422e-16,1.2984423107282422e-16,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,301.5007503751876,2.3613415365910897e-16,2.3613415365910897e-16,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,301.75087543771883,4.275262887919464e-16,4.275262887919464e-16,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,302.00100050025014,7.706101302414102e-16,7.706101302414102e-16,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,302.2511255627814,1.3828480877492104e-15,1.3828480877492104e-15,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,302.50125062531265,2.470484331217871e-15,2.470484331217871e-15,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,302.7513756878439,4.393975233633786e-15,4.393975233633786e-15,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,303.0015007503752,7.780383001215565e-15,7.780383001215565e-15,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,303.25162581290647,1.3715518130917073e-14,1.3715518130917073e-14,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,303.5017508754377,2.4070844732924133e-14,2.4070844732924133e-14,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,303.751875937969,4.2057002383878803e-14,4.2057002383878803e-14,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,304.00200100050023,7.315654207933841e-14,7.315654207933841e-14,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,304.25212606303154,1.2668812080518656e-13,1.2668812080518656e-13,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,304.5022511255628,2.184170261788929e-13,2.184170261788929e-13,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,304.75237618809405,3.7489094949810925e-13,3.7489094949810925e-13,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,305.0025012506253,6.406064289375851e-13,6.406064289375851e-13,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,305.2526263131565,1.089796729676018e-12,1.089796729676018e-12,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,305.50275137568786,1.845727481061893e-12,1.845727481061893e-12,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,305.7528764382191,3.112128547101879e-12,3.112128547101879e-12,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
