wavelength_nm,0.1_percent_N2_ph_MeV_nm,1_percent_N2_ph_MeV_nm,10_percent_N2_ph_MeV_nm,100_percent_N2_ph_MeV_nm
300.0,8.714110318622966e-19,2.544927596756106e-18,2.665548459273039e-18,3.5794445724894774e-19
300.25012506253125,1.6203910960209747e-18,4.732299531472199e-18,4.956594341235055e-18,6.655986557304803e-19
300.5002501250625,2.999746208835438e-18,8.760661307919022e-18,9.175886685853884e-18,1.2321883581293311e-18
300.7503751875938,5.528623925149501e-18,1.6146166487162872e-17,1.6911439546603165e-17,2.2709607956098313e-18
301.00050025012507,1.0144191874830862e-17,2.962578267327432e-17,3.102994342949564e-17,4.166870881936815e-18
301.2506253126563,1.853044002381056e-17,5.411754783026609e-17,5.668253447464396e-17,7.61164141189711e-18
301.5007503751876,3.369937759883422e-17,9.841793701130262e-17,1.0308261056216205e-16,1.3842497952387893e-17
301.75087543771883,6.101349430471208e-17,1.7818792711258715e-16,1.8663342532079587e-16,2.5062159308551273e-17
302.00100050025014,1.0997596644991017e-16,3.211812356795223e-16,3.3640412756898105e-16,4.5174190114639516e-17
302.2511255627814,1.9735018907159612e-16,5.763548130897502e-16,6.036720596626135e-16,8.10643929584455e-17
302.50125062531265,3.525698550574872e-16,1.0296688027951068e-15,1.078471581804708e-15,1.4482307521536526e-16
302.7513756878439,6.270767200068636e-16,1.8313571801107896e-15,1.9181572458270446e-15,2.575806685814105e-16
303.0015007503752,1.1103606172956512e-15,3.242772094895155e-15,3.3964683994700547e-15,4.560963930639157e-16
303.25162581290647,1.9573806554247335e-15,5.716466587186993e-15,5.987407548798091e-15,8.040219032323569e-16
303.5017508754377,3.435218807647604e-15,1.0032444879421143e-14,1.050794844818744e-14,1.4110649127392586e-15
303.751875937969,6.0020745921212904e-15,1.7528863772397023e-14,1.8359671953291207e-14,2.4654373810866024e-15
304.00200100050023,1.0440378476193076e-14,3.04907860161689e-14,3.1935944971880433e-14,4.288533734933335e-15
304.25212606303154,1.808002253864566e-14,5.280211820389572e-14,5.5304757983743776e-14,7.426626032968256e-15
304.5022511255628,3.117091587624744e-14,9.103364672821905e-14,9.53483301794952e-14,1.280389639023888e-14
304.75237618809405,5.350175512416785e-14,1.5625013697542718e-13,1.6365585897490105e-13,2.197660575728472e-14
305.0025012506253,9.142276797524871e-14,2.6699722253322037e-13,2.7965197754968256e-13,3.755320034583643e-14
305.25262631315655,1.555279951257915e-13,4.542144549374064e-13,4.757426663458738e-13,6.3885332830071e-14
305.50275137568786,2.634090256111094e-13,7.692774982200137e-13,8.057386201271525e-13,1.0819899824465624e-13
305.7528764382191,4.441407285635654e-13,1.2970985627175253e-12,1.3585765975362328e-12,1.8243711201140707e-13
306.0030015007504,7.455528249627022e-13,2.1773627940332134e-12,2.2805623422495684e-12,3.0624641130761504e-13
306.2531265632816,1.2459600292714075e-12,3.638785770443314e-12,3.811251768574136e-12,5.117957773363522e-13
306.5032516258129,2.0729922146640084e-12,6.054106388445015e-12,6.341050321653302e-12,8.515109931227707e-13
306.7533766883442,3.4336743362611794e-12,1.0027934300934076e-11,1.0503224083709661e-11,1.410430499182468e-12
307.00350175087544,5.662241710171183e-12,1.653639288559667e-11,1.732016134145451e-11,2.3258461984675155e-12
307.2536268134067,9.295774445814038e-12,2.7148007146311546e-11,2.8434729818413466e-11,3.818371373615277e-12
307.50375187593795,1.519324778655472e-11,4.4371386363704914e-11,4.6474438293781135e-11,6.240842305134475e-12
307.75387693846926,2.472199617407455e-11,7.219978633486401e-11,7.562180922948396e-11,1.0154911034036624e-11
308.0040020010005,4.004832158332361e-11,1.169598215704816e-10,1.2250331702223455e-10,1.645041686268136e-11
308.25412706353177,6.458816930197878e-11,1.8862764926131437e-10,1.9756795458765945e-10,2.6530507831754504e-11
308.504252126063,1.0370256562042461e-10,3.0285997244929813e-10,3.172144991341647e-10,4.259730162813921e-11
308.7543771885943,1.6576540450666461e-10,4.841124763074077e-10,5.070577516550599e-10,6.809049412650382e-11
309.0045022511256,2.6379476036762123e-10,7.704040240396113e-10,8.069185394170322e-10,1.0835744427415695e-10
309.25462731365684,4.1793265233207965e-10,1.2205587278741954e-09,1.2784090363452166e-09,1.7167177248825468e-10
309.5047523761881,6.591956180983545e-10,1.9251593780881835e-09,2.0164053471143947e-09,2.707739621299477e-10
309.75487743871935,1.0351187874494815e-09,3.023030776269981e-09,3.166312094022874e-09,4.251897428587335e-10
310.0050025012506,1.6182064992281735e-09,4.725919487540573e-09,4.949911905045627e-09,6.647013015718625e-10
310.2551275637819,2.5185209146893504e-09,7.35525847670609e-09,7.703872567977739e-09,1.0345182341242835e-09
310.50525262631317,3.902339527960154e-09,1.139665576116708e-08,1.1936818259099348e-08,1.6029413827268859e-09
310.7553776888444,6.0196662746053085e-09,1.758023970934296e-08,1.8413482933903977e-08,2.472663414506653e-09
311.0055027513757,9.244589845763351e-09,2.6998524185418185e-08,2.8278161876518083e-08,3.797346572213013e-09
311.2556278139069,1.4134184330971279e-08,4.127842596237722e-08,4.32348821496848e-08,5.805816949773911e-09
311.50575287643824,2.151402776596121e-08,6.283101886139978e-08,6.580899422601917e-08,8.837192450350673e-09
311.7558779389695,3.26017242193651e-08,9.521227599148094e-08,9.972501217577612e-08,1.3391621237731342e-08
312.00600300150074,4.918438944477859e-08,1.4364141082780862e-07,1.5044952233922612e-07,2.0203186488594043e-08
312.256128064032,7.387234245369678e-08,2.1574177520527307e-07,2.2596719735062775e-07,3.0344113809056506e-08
312.5062531265633,1.1045981894613922e-07,3.2259431116903167e-07,3.378841780029106e-07,4.537293939921206e-08
312.75637818909456,1.6443514826680692e-07,4.802275061936648e-07,5.029886472474497e-07,6.754407248348158e-08
313.0065032516258,2.4369849778680477e-07,7.117135423225301e-07,7.454463296322165e-07,1.0010261900892045e-07
313.25662831415707,3.595662498902332e-07,1.0501015465137687e-06,1.09987276768026e-06,1.4769694375677514e-07
313.5067533766883,5.281689420669309e-07,1.542500229246601e-06,1.6156094636002422e-06,2.1695289408933448e-07
313.75687843921963,7.723864914168061e-07,2.255729644789343e-06,2.36264351365788e-06,3.17268720899435e-07
314.0070035017509,1.1245126624011522e-06,3.2841026826690517e-06,3.4397579157226923e-06,4.6190954658048913e-07
314.25712856428214,1.629903533412254e-06,4.760080295708963e-06,4.985691818665502e-06,6.695060244860253e-07
314.5072536268134,2.3519458743674883e-06,6.868781485314436e-06,7.194338231311861e-06,9.660951705881168e-07
314.75737868934465,3.378785451385248e-06,9.867633096601835e-06,1.0335325150642935e-05,1.3878841101794194e-06
315.00750375187596,4.832387793171568e-06,1.4112831492145998e-05,1.4781731428359753e-05,1.984971916348856e-06
315.2576288144072,6.880671314790219e-06,2.0094776945611205e-05,2.1047200633559954e-05,2.826333462886644e-06
315.50775387693847,9.753662340748038e-06,2.8485253861616203e-05,2.9835357453632542e-05,4.0064553294526795e-06
315.7578789394697,1.3764881972745082e-05,4.019989042790228e-05,4.210522772027967e-05,5.654120761244453e-06
316.00800400200103,1.933949536410934e-05,5.648036765643813e-05,5.915734387795298e-05,7.943972383251362e-06
316.2581290645323,2.7051145105467124e-05,7.900199008914543e-05,8.274641417305784e-05,1.1111642036532159e-05
316.50825412706354,3.766986302750763e-05,0.00011001361066068756,0.00011522787947658969,1.5473431231651156e-05
316.7583791895948,5.222401996422943e-05,0.0001525185529685968,0.00015974741065097502,2.1451757893751672e-05
317.00850425212604,7.207994176938992e-05,0.0002105071272617089,0.0002204844450009775,2.9607859772031357e-05
317.25862931465736,9.904360196161111e-05,0.0002892536205050736,0.00030296325265175624,4.068356613797376e-05
317.5087543771886,0.00013548970456986345,0.0003956932786348586,0.00041444778647308834,5.56543203973849e-05
317.75887943971986,0.00018452449954783833,0.0005388978036843483,0.0005644397161425818,7.579605883417605e-05
318.0090045022511,0.000250189827181922,0.0007306712588457686,0.0007653025770689864,0.0001027690247488085
318.25912956478237,0.00033771716024400515,0.0009862919903209217,0.0010330388568006179,0.00013872211988050527
318.5092546273137,0.00045384178750090083,0.0013254301900491423,0.0013882510470878625,0.00018642195974582652
318.75937968984493,0.0006071887327734158,0.0017732749597765254,0.0018573221269338794,0.0002494113953730637
319.0095047523762,0.0008087434896507056,0.0023619090764898185,0.002473855487207324,0.00033220287427160685
319.25962981490744,0.0010724221166834582,0.0031319739368994045,0.003280418787798463,0.0004405126151291233
