mixture,concentration_percent,pressure_bar,wavelength_nm,experimental_ph_MeV_nm
ArN2,0.1,1,200.34,0.0
ArN2,0.1,1,200.72,0.0
ArN2,0.1,1,201.1,0.0
ArN2,0.1,1,201.48,0.0
ArN2,0.1,1,201.85,0.0
ArN2,0.1,1,202.23,0.0
ArN2,0.1,1,202.61,0.0
ArN2,0.1,1,202.99,0.0
ArN2,0.1,1,203.36,0.0
ArN2,0.1,1,203.74,0.0
ArN2,0.1,1,204.12,0.0
ArN2,0.1,1,204.49,0.0
ArN2,0.1,1,204.87,0.0
ArN2,0.1,1,205.25,0.0
ArN2,0.1,1,205.63,0.0
ArN2,0.1,1,206.0,0.0
ArN2,0.1,1,206.38,0.0
ArN2,0.1,1,206.76,0.0
ArN2,0.1,1,207.14,0.0
ArN2,0.1,1,207.51,0.0
ArN2,0.1,1,207.89,0.0
ArN2,0.1,1,208.27,0.0
ArN2,0.1,1,208.64,0.0
ArN2,0.1,1,209.02,0.0
ArN2,0.1,1,209.4,0.0
ArN2,0.1,1,209.77,0.0
ArN2,0.1,1,210.15,0.0
ArN2,0.1,1,210.53,2.5957210085118314
ArN2,0.1,1,210.9,5.651260697487493
ArN2,0.1,1,211.28,13.704095894859902
ArN2,0.1,1,211.66,16.6591843951011
ArN2,0.1,1,212.03,18.27798672862282
ArN2,0.1,1,212.41,18.27798672862282
ArN2,0.1,1,212.79,20.8692308231557
ArN2,0.1,1,213.16,27.34718501282762
ArN2,0.1,1,213.54,20.8692308231557
ArN2,0.1,1,213.92,26.723229090044622
ArN2,0.1,1,214.29,43.882429171765345
ArN2,0.1,1,214.67,32.6005025031474
ArN2,0.1,1,215.05,32.6005025031474
ArN2,0.1,1,215.42,37.51443938960805
ArN2,0.1,1,215.8,43.10631747638654
ArN2,0.1,1,216.17,37.22956359361081
ArN2,0.1,1,216.55,28.323399439507664
ArN2,0.1,1,216.93,31.051799540380856
ArN2,0.1,1,217.3,27.596922865520803
ArN2,0.1,1,217.68,30.544416669863693
ArN2,0.1,1,218.05,30.544416669863693
ArN2,0.1,1,218.43,30.544416669863693
ArN2,0.1,1,218.81,31.773942343240382
ArN2,0.1,1,219.18,36.958753057256395
ArN2,0.1,1,219.56,33.45548883511462
ArN2,0.1,1,219.93,33.45548883511462
ArN2,0.1,1,220.31,31.773942343240382
ArN2,0.1,1,220.69,34.02919871917811
ArN2,0.1,1,221.06,35.27001031694113
ArN2,0.1,1,221.44,37.693022586148956
ArN2,0.1,1,221.81,40.12529040060557
ArN2,0.1,1,222.19,38.221592851826244
ArN2,0.1,1,222.56,37.74449083482176
ArN2,0.1,1,222.94,37.32971163656133
ArN2,0.1,1,223.32,38.578316189230044
ArN2,0.1,1,223.69,39.17750783309048
ArN2,0.1,1,224.07,39.261498569296364
ArN2,0.1,1,224.44,38.72685490026908
ArN2,0.1,1,224.82,38.72685490026908
ArN2,0.1,1,225.19,38.72685490026908
ArN2,0.1,1,225.57,37.72402803783938
ArN2,0.1,1,225.94,36.06852676090809
ArN2,0.1,1,226.32,33.99494846760593
ArN2,0.1,1,226.69,32.04647541587383
ArN2,0.1,1,227.07,31.325131437037523
ArN2,0.1,1,227.44,31.325131437037523
ArN2,0.1,1,227.82,31.325131437037523
ArN2,0.1,1,228.19,32.88632006981262
ArN2,0.1,1,228.57,33.87515945895803
ArN2,0.1,1,228.94,34.04140916361295
ArN2,0.1,1,229.32,34.762753142449256
ArN2,0.1,1,229.69,36.060713076187405
ArN2,0.1,1,230.07,34.56587140166434
ArN2,0.1,1,230.44,36.12792591831785
ArN2,0.1,1,230.82,35.60346368026647
ArN2,0.1,1,231.19,34.59053516709347
ArN2,0.1,1,231.57,32.065049290030906
ArN2,0.1,1,231.94,31.616833413407267
ArN2,0.1,1,232.32,31.27134574592126
ArN2,0.1,1,232.69,31.27134574592126
ArN2,0.1,1,233.07,31.616833413407267
ArN2,0.1,1,233.44,31.616833413407267
ArN2,0.1,1,233.82,32.345279133812106
ArN2,0.1,1,234.19,30.54470425556712
ArN2,0.1,1,234.57,30.54470425556712
ArN2,0.1,1,234.94,28.754080956677612
ArN2,0.1,1,235.31,28.475266347829265
ArN2,0.1,1,235.69,31.968619646703296
ArN2,0.1,1,236.06,35.36288445007458
ArN2,0.1,1,236.44,30.125641020080707
ArN2,0.1,1,236.81,28.967088390766733
ArN2,0.1,1,237.19,28.53436813596429
ArN2,0.1,1,237.56,28.286725346738734
ArN2,0.1,1,237.93,28.420858640762052
ArN2,0.1,1,238.31,28.53436813596429
ArN2,0.1,1,238.68,30.25141586685339
ArN2,0.1,1,239.06,31.136136092244605
ArN2,0.1,1,239.43,31.136136092244605
ArN2,0.1,1,239.81,31.136136092244605
ArN2,0.1,1,240.18,32.98739582428741
ArN2,0.1,1,240.55,33.4248620085925
ArN2,0.1,1,240.93,32.98739582428741
ArN2,0.1,1,241.3,32.98739582428741
ArN2,0.1,1,241.67,29.486988392627048
ArN2,0.1,1,242.05,31.292861074237003
ArN2,0.1,1,242.42,31.32529416641426
ArN2,0.1,1,242.8,33.2111892535935
ArN2,0.1,1,243.17,31.6518009688905
ArN2,0.1,1,243.54,29.095541640076263
ArN2,0.1,1,243.92,27.198273623378117
ArN2,0.1,1,244.29,27.198273623378117
ArN2,0.1,1,244.66,26.292731390443105
ArN2,0.1,1,245.04,24.432668889631522
ArN2,0.1,1,245.41,23.392742351659855
ArN2,0.1,1,245.78,24.33661683960469
ArN2,0.1,1,246.16,22.04029279405861
ArN2,0.1,1,246.53,22.04029279405861
ArN2,0.1,1,246.9,20.660681647522164
ArN2,0.1,1,247.28,19.81154539202323
ArN2,0.1,1,247.65,17.979335105305466
ArN2,0.1,1,248.02,17.979335105305466
ArN2,0.1,1,248.4,19.00430352428002
ArN2,0.1,1,248.77,19.00430352428002
ArN2,0.1,1,249.14,19.00430352428002
ArN2,0.1,1,249.52,17.07166331492724
ArN2,0.1,1,249.89,17.183362335242258
ArN2,0.1,1,250.26,17.18271236704915
ArN2,0.1,1,250.64,16.824153810461127
ArN2,0.1,1,251.01,17.10816372257995
ArN2,0.1,1,251.38,17.10816372257995
ArN2,0.1,1,251.75,16.56612041469464
ArN2,0.1,1,252.13,16.56612041469464
ArN2,0.1,1,252.5,17.347230303947246
ArN2,0.1,1,252.87,17.59747074480804
ArN2,0.1,1,253.25,17.59747074480804
ArN2,0.1,1,253.62,17.347230303947246
ArN2,0.1,1,253.99,17.347230303947246
ArN2,0.1,1,254.36,17.46673958512347
ArN2,0.1,1,254.74,17.721054865709874
ArN2,0.1,1,255.11,18.172786926227424
ArN2,0.1,1,255.48,18.48017570306334
ArN2,0.1,1,255.85,18.02671187478897
ArN2,0.1,1,256.23,17.903756364054605
ArN2,0.1,1,256.6,17.857693220745677
ArN2,0.1,1,256.97,17.885401504854826
ArN2,0.1,1,257.34,17.885401504854826
ArN2,0.1,1,257.71,17.759061696760934
ArN2,0.1,1,258.09,17.395737107093765
ArN2,0.1,1,258.46,16.622984666725625
ArN2,0.1,1,258.83,14.585727572928894
ArN2,0.1,1,259.2,13.594290532148255
ArN2,0.1,1,259.58,13.353289502423355
ArN2,0.1,1,259.95,13.353289502423355
ArN2,0.1,1,260.32,11.836525153950344
ArN2,0.1,1,260.69,11.121678007034737
ArN2,0.1,1,261.06,11.125807666550564
ArN2,0.1,1,261.44,11.121678007034737
ArN2,0.1,1,261.81,11.121678007034737
ArN2,0.1,1,262.18,9.431412805196747
ArN2,0.1,1,262.55,8.36399712151056
ArN2,0.1,1,262.92,8.516219507335219
ArN2,0.1,1,263.29,8.27775508722082
ArN2,0.1,1,263.67,8.516219507335219
ArN2,0.1,1,264.04,8.27775508722082
ArN2,0.1,1,264.41,8.240435492061305
ArN2,0.1,1,264.78,8.392571289498122
ArN2,0.1,1,265.15,7.520807625356333
ArN2,0.1,1,265.52,6.619899244626487
ArN2,0.1,1,265.9,6.8623895242125785
ArN2,0.1,1,266.27,7.520807625356333
ArN2,0.1,1,266.64,6.619899244626487
ArN2,0.1,1,267.01,6.619899244626487
ArN2,0.1,1,267.38,6.33606250928335
ArN2,0.1,1,267.75,6.810696256671441
ArN2,0.1,1,268.12,6.541851313897901
ArN2,0.1,1,268.5,6.160234865363087
ArN2,0.1,1,268.87,4.8145157561924785
ArN2,0.1,1,269.24,5.364178842207807
ArN2,0.1,1,269.61,3.7672163884607635
ArN2,0.1,1,269.98,3.165860034904297
ArN2,0.1,1,270.35,4.334402831545523
ArN2,0.1,1,270.72,4.935759185101992
ArN2,0.1,1,271.09,4.69946076463828
