pressure_bar,concentration_percent,ArCF4_reference_concentration_percent,ArCF4_visible_range_nm,ArN2_uv_range_nm,ArCF4_95_5_visible_integral_ph_MeV,ArN2_uv_integral_ph_MeV,ratio_ArN2_UV_over_ArCF4_95_5_VIS
1.0,0.1,5.0,500-750,325-420,6271.678641972015,3562.476320672777,0.5680259662591101
1.0,0.5,5.0,500-750,325-420,6271.678641972015,7366.332518818551,1.174539216585616
1.0,1.0,5.0,500-750,325-420,6271.678641972015,7836.752900108611,1.2495463092867412
1.0,5.0,5.0,500-750,325-420,6271.678641972015,7694.993439881966,1.2269431964170945
1.0,10.0,5.0,500-750,325-420,6271.678641972015,7186.365072100478,1.1458439569921677
1.0,20.0,5.0,500-750,325-420,6271.678641972015,4572.725616695565,0.7291071302814321
1.0,50.0,5.0,500-750,325-420,6271.678641972015,2045.6387942478414,0.3261708564845452
1.0,100.0,5.0,500-750,325-420,6271.678641972015,346.52504676519254,0.05525236010119199
2.0,0.1,5.0,500-750,325-420,6584.709039337867,1522.611470330695,0.23123443438949629
2.0,0.5,5.0,500-750,325-420,6584.709039337867,2801.0233335699477,0.4253830073335492
2.0,1.0,5.0,500-750,325-420,6584.709039337867,3331.0658257526675,0.5058789698758849
2.0,5.0,5.0,500-750,325-420,6584.709039337867,4228.215196923753,0.642126352381536
2.0,10.0,5.0,500-750,325-420,6584.709039337867,3851.989888679067,0.5849901439329821
2.0,20.0,5.0,500-750,325-420,6584.709039337867,2663.2547564674974,0.404460506995356
2.0,50.0,5.0,500-750,325-420,6584.709039337867,1062.8003264534805,0.16140429593838995
2.0,100.0,5.0,500-750,325-420,6584.709039337867,147.19931096904048,0.022354717587315335
3.0,0.1,5.0,500-750,325-420,6618.886958812665,610.8594149629605,0.09229035316121187
3.0,0.5,5.0,500-750,325-420,6618.886958812665,1458.230650071922,0.22031357525004594
3.0,1.0,5.0,500-750,325-420,6618.886958812665,1822.988093907125,0.2754221525841171
3.0,5.0,5.0,500-750,325-420,6618.886958812665,2911.1487862776266,0.439824521009775
3.0,10.0,5.0,500-750,325-420,6618.886958812665,2627.261717707316,0.3969340667178594
3.0,20.0,5.0,500-750,325-420,6618.886958812665,1770.3960301443276,0.26747639613139906
3.0,50.0,5.0,500-750,325-420,6618.886958812665,601.5315834187406,0.09088107821781669
3.0,100.0,5.0,500-750,325-420,6618.886958812665,68.14934583345534,0.010296194247994888
4.0,0.1,5.0,500-750,325-420,6840.071312053289,349.7869955781706,0.051137916495371985
4.0,0.5,5.0,500-750,325-420,6840.071312053289,1053.7830464571184,0.15406024270539195
4.0,1.0,5.0,500-750,325-420,6840.071312053289,1196.1791673449875,0.174878171991735
4.0,5.0,5.0,500-750,325-420,6840.071312053289,2016.8564278652948,0.2948589767348294
4.0,10.0,5.0,500-750,325-420,6840.071312053289,1874.374880840207,0.27402855837734635
4.0,20.0,5.0,500-750,325-420,6840.071312053289,1340.4423632722749,0.19596906261930386
4.0,50.0,5.0,500-750,325-420,6840.071312053289,585.1921160242202,0.08555351096896008
4.0,100.0,5.0,500-750,325-420,6840.071312053289,75.022632059082,0.010968106710653767
5.0,0.1,5.0,500-750,325-420,6811.539105272297,201.75531999079843,0.0296196376285405
5.0,0.5,5.0,500-750,325-420,6811.539105272297,424.3455445813138,0.06229804131240471
5.0,1.0,5.0,500-750,325-420,6811.539105272297,723.9719640578503,0.10628610551431443
5.0,5.0,5.0,500-750,325-420,6811.539105272297,1463.4498690963637,0.21484863354357284
5.0,10.0,5.0,500-750,325-420,6811.539105272297,1071.1868066517395,0.15726061174964331
5.0,20.0,5.0,500-750,325-420,6811.539105272297,816.0094796690978,0.11979810539992153
5.0,50.0,5.0,500-750,325-420,6811.539105272297,329.87917340144105,0.04842946187391137
5.0,100.0,5.0,500-750,325-420,6811.539105272297,58.94711301776226,0.008654007869107845
