pressure_bar,concentration_percent,ArCF4_visible_range_nm,ArN2_uv_range_nm,ArCF4_visible_integral_ph_MeV,ArN2_uv_integral_ph_MeV,ratio_ArN2_UV_over_ArCF4_VIS,ratio_ArCF4_VIS_over_ArN2_UV
1.0,0.1,500-750,330-420,1510.4733531923912,3507.173961364036,2.321903894531877,0.4306810468577175
1.0,0.5,500-750,330-420,2356.3516437785765,7258.944748382323,3.0805863664482995,0.32461352516888853
1.0,1.0,500-750,330-420,3101.106142066376,7733.92472728907,2.4939245459478805,0.4009744407162584
1.0,5.0,500-750,330-420,6271.678641972015,7599.566647374066,1.2117276858727126,0.8252679307890686
1.0,10.0,500-750,330-420,6768.774356876833,7106.287605599702,1.0498632737520595,0.9525049832690544
1.0,20.0,500-750,330-420,7849.719580795423,4527.896500918475,0.5768227073991421,1.733634940463662
1.0,50.0,500-750,330-420,6880.495164791597,2026.531054332153,0.294532734315719,3.395208353744708
1.0,100.0,500-750,330-420,2819.510303643454,341.42095813568017,0.12109228957045697,8.258164112242298
2.0,0.1,500-750,330-420,1037.6602412318546,1496.1414397838935,1.4418413468436977,0.6935575832868696
2.0,0.5,500-750,330-420,2041.9247926408134,2755.5570031730294,1.3494899582512432,0.741020704811961
2.0,1.0,500-750,330-420,2775.8380517382925,3282.903131711424,1.1826709881924113,0.8455436972613958
2.0,5.0,500-750,330-420,6584.709039337867,4179.481944703456,0.6347253796234145,1.5754845041698264
2.0,10.0,500-750,330-420,7321.892227912524,3812.9450742217723,0.5207595189240918,1.9202721480080414
2.0,20.0,500-750,330-420,8518.564885669217,2636.1911691940595,0.3094642354170389,3.231391177246651
2.0,50.0,500-750,330-420,7340.927259176852,1053.815310826537,0.14355343318640956,6.966047260614535
3.0,0.1,500-750,330-420,698.3060084225632,598.9719999281464,0.8577500303644714,1.1658408214513083
3.0,0.5,500-750,330-420,1941.1958115560114,1434.0548940308813,0.7387481909315375,1.3536412166898608
3.0,1.0,500-750,330-420,2742.836332413879,1794.4056013974,0.6542153391333427,1.5285486905958636
3.0,5.0,500-750,330-420,6618.886958812665,2875.19551057895,0.43439259931018964,2.3020650020004676
3.0,10.0,500-750,330-420,7466.988119496284,2600.858926940768,0.34831432504223936,2.8709700638316615
3.0,20.0,500-750,330-420,8845.20038354136,1751.0206317353761,0.19796279968892222,5.05145411951839
3.0,50.0,500-750,330-420,7856.050066940563,593.9009396403161,0.07559790665534838,13.227879504111272
4.0,0.1,500-750,330-420,388.89757400290506,341.2504982442092,0.8774816842690308,1.1396249265681604
4.0,0.5,500-750,330-420,1870.9773494553813,1034.5497652048248,0.5529461730287486,1.8084942961491628
4.0,1.0,500-750,330-420,2676.777831676855,1175.776757234046,0.439250782534121,2.2766037984743264
4.0,5.0,500-750,330-420,6840.071312053289,1993.3470136593137,0.29142196370770584,3.4314503521875683
4.0,10.0,500-750,330-420,7676.4736187525,1849.3010578302117,0.24090502354005883,4.1510134795247025
4.0,20.0,500-750,330-420,9428.182714137794,1328.1758265797716,0.14087294093146274,7.098595325602794
4.0,50.0,500-750,330-420,8320.497273758303,580.7444122258116,0.06979683943379192,14.327296309005265
4.0,100.0,500-750,330-420,3428.784075877657,73.68607778087045,0.021490439803214852,46.532318982620616
5.0,0.1,500-750,330-420,306.0749760416186,195.7210708247642,0.639454663546722,1.5638325232527366
5.0,0.5,500-750,330-420,1536.5160215277717,416.19759784036324,0.27087097824501316,3.691794545429159
5.0,1.0,500-750,330-420,2412.378235157303,711.4590192467192,0.2949201783029382,3.390747983926732
5.0,5.0,500-750,330-420,6811.539105272297,1447.1644444571434,0.21245777526800116,4.706817619353151
5.0,10.0,500-750,330-420,7875.673539879118,1057.4288642379265,0.13426519762196196,7.447946435200632
5.0,20.0,500-750,330-420,9493.92616719765,804.5564981281285,0.08474433906047658,11.800198232549366
5.0,50.0,500-750,330-420,9009.62420211325,325.7777145663556,0.03615885715743204,27.655741320753037
