mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm,experimental_scale,normalisation_reference
ArCF4,model,0.1,1.0,200.0,12.152268947594642,1.0,none
ArCF4,model,0.1,1.0,200.30015007503752,12.164967129578685,1.0,none
ArCF4,model,0.1,1.0,200.60030015007504,12.176997772698783,1.0,none
ArCF4,model,0.1,1.0,200.90045022511256,12.188360695936131,1.0,none
ArCF4,model,0.1,1.0,201.20060030015009,12.199055817428409,1.0,none
ArCF4,model,0.1,1.0,201.5007503751876,12.209083153088649,1.0,none
ArCF4,model,0.1,1.0,201.8009004502251,12.218442815188784,1.0,none
ArCF4,model,0.1,1.0,202.10105052526262,12.22713501090961,1.0,none
ArCF4,model,0.1,1.0,202.40120060030014,12.235160040859235,1.0,none
ArCF4,model,0.1,1.0,202.70135067533766,12.242518297561963,1.0,none
ArCF4,model,0.1,1.0,203.0015007503752,12.249210263919744,1.0,none
ArCF4,model,0.1,1.0,203.3016508254127,12.255236511648313,1.0,none
ArCF4,model,0.1,1.0,203.60180090045023,12.260597699690196,1.0,none
ArCF4,model,0.1,1.0,203.90195097548775,12.265294572606951,1.0,none
ArCF4,model,0.1,1.0,204.20210105052527,12.269327958952834,1.0,none
ArCF4,model,0.1,1.0,204.5022511255628,12.27269876963237,1.0,none
ArCF4,model,0.1,1.0,204.8024012006003,12.275407996244185,1.0,none
ArCF4,model,0.1,1.0,205.1025512756378,12.277456709413613,1.0,none
ArCF4,model,0.1,1.0,205.40270135067533,12.278846057116558,1.0,none
ArCF4,model,0.1,1.0,205.70285142571285,12.279577262997167,1.0,none
ArCF4,model,0.1,1.0,206.00300150075037,12.279651624681916,1.0,none
ArCF4,model,0.1,1.0,206.3031515757879,12.279070512092686,1.0,none
ArCF4,model,0.1,1.0,206.60330165082541,12.277835365761504,1.0,none
ArCF4,model,0.1,1.0,206.90345172586294,12.275947695149583,1.0,none
ArCF4,model,0.1,1.0,207.20360180090046,12.273409076973355,1.0,none
ArCF4,model,0.1,1.0,207.50375187593798,12.270221153540156,1.0,none
ArCF4,model,0.1,1.0,207.8039019509755,12.26638563109629,1.0,none
ArCF4,model,0.1,1.0,208.104052026013,12.261904278190146,1.0,none
ArCF4,model,0.1,1.0,208.40420210105052,12.256778924053046,1.0,none
ArCF4,model,0.1,1.0,208.70435217608804,12.251011457000526,1.0,none
ArCF4,model,0.1,1.0,209.00450225112556,12.244603822856691,1.0,none
ArCF4,model,0.1,1.0,209.30465232616308,12.237558023404297,1.0,none
ArCF4,model,0.1,1.0,209.6048024012006,12.229876114863165,1.0,none
ArCF4,model,0.1,1.0,209.90495247623812,12.22156020639951,1.0,none
