mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm
ArN2,model,0.1,1,300.0,6.608356135798121e-18
ArN2,model,0.1,1,300.25012506253125,1.228825554216186e-17
ArN2,model,0.1,1,300.5002501250625,2.2748611780401905e-17
ArN2,model,0.1,1,300.7503751875938,4.1926386633185753e-17
ArN2,model,0.1,1,301.00050025012507,7.692860219532463e-17
ArN2,model,0.1,1,301.2506253126563,1.4052581681079575e-16
ArN2,model,0.1,1,301.5007503751876,2.555596390051501e-16
ArN2,model,0.1,1,301.75087543771883,4.626965745353826e-16
ArN2,model,0.1,1,302.00100050025014,8.340040762697588e-16
ArN2,model,0.1,1,302.2511255627814,1.4966075539175516e-15
ArN2,model,0.1,1,302.50125062531265,2.6737177747076994e-15
ArN2,model,0.1,1,302.7513756878439,4.755443916537836e-15
ArN2,model,0.1,1,303.0015007503752,8.420433216886135e-15
ArN2,model,0.1,1,303.25162581290647,1.4843819955692996e-14
ArN2,model,0.1,1,303.5017508754377,2.6051023518502416e-14
ArN2,model,0.1,1,303.751875937969,4.5516805512086456e-14
ArN2,model,0.1,1,304.00200100050023,7.917473688135243e-14
ArN2,model,0.1,1,304.25212606303154,1.3711007034566424e-13
ArN2,model,0.1,1,304.5022511255628,2.363850188458457e-13
ArN2,model,0.1,1,304.75237618809405,4.0573120929530957e-13
ArN2,model,0.1,1,305.0025012506253,6.933056704707328e-13
ArN2,model,0.1,1,305.25262631315655,1.1794484385645446e-12
ArN2,model,0.1,1,305.50275137568786,1.997565542522132e-12
ArN2,model,0.1,1,305.7528764382191,3.3681466052689244e-12
ArN2,model,0.1,1,306.0030015007504,5.65390889632719e-12
ArN2,model,0.1,1,306.2531265632816,9.448753003273932e-12
ArN2,model,0.1,1,306.5032516258129,1.572056161827592e-11
ArN2,model,0.1,1,306.7533766883442,2.6039311000999358e-11
ArN2,model,0.1,1,307.00350175087544,4.2939678727517786e-11
ArN2,model,0.1,1,307.2536268134067,7.049461832576147e-11
ArN2,model,0.1,1,307.50375187593795,1.1521817897853519e-10
