pressure_bar,concentration_percent,ArCF4_reference_concentration_percent,ArCF4_reference_pressure_bar,ArCF4_visible_range_nm,ArN2_uv_range_nm,ArCF4_95_5_1bar_visible_integral_ph_MeV,ArN2_uv_integral_ph_MeV,ratio_ArN2_UV_over_ArCF4_95_5_1bar_VIS
1.0,0.1,5.0,1.0,500-750,330-420,6271.678641972015,3507.173961364036,0.5592081740114907
1.0,0.5,5.0,1.0,500-750,330-420,6271.678641972015,7258.944748382323,1.1574165646503662
1.0,1.0,5.0,1.0,500-750,330-420,6271.678641972015,7733.92472728907,1.233150671262276
1.0,5.0,5.0,1.0,500-750,330-420,6271.678641972015,7599.566647374066,1.2117276858727126
1.0,10.0,5.0,1.0,500-750,330-420,6271.678641972015,7106.287605599702,1.1330758495886932
1.0,20.0,5.0,1.0,500-750,330-420,6271.678641972015,4527.896500918475,0.7219592647200368
1.0,50.0,5.0,1.0,500-750,330-420,6271.678641972015,2026.531054332153,0.32312418572756263
1.0,100.0,5.0,1.0,500-750,330-420,6271.678641972015,341.42095813568017,0.054438528761787223
2.0,0.1,5.0,1.0,500-750,330-420,6271.678641972015,1496.1414397838935,0.23855518198449324
2.0,0.5,5.0,1.0,500-750,330-420,6271.678641972015,2755.5570031730294,0.4393651461559253
2.0,1.0,5.0,1.0,500-750,330-420,6271.678641972015,3282.903131711424,0.5234488753523212
2.0,5.0,5.0,1.0,500-750,330-420,6271.678641972015,4179.481944703456,0.666405628109366
2.0,10.0,5.0,1.0,500-750,330-420,6271.678641972015,3812.9450742217723,0.607962443851055
2.0,20.0,5.0,1.0,500-750,330-420,6271.678641972015,2636.1911691940595,0.42033262858078413
2.0,50.0,5.0,1.0,500-750,330-420,6271.678641972015,1053.815310826537,0.16802763199218765
2.0,100.0,5.0,1.0,500-750,330-420,6271.678641972015,140.03748721164848,0.022328549532891286
3.0,0.1,5.0,1.0,500-750,330-420,6271.678641972015,598.9719999281464,0.09550425557834555
3.0,0.5,5.0,1.0,500-750,330-420,6271.678641972015,1434.0548940308813,0.22865567193346645
3.0,1.0,5.0,1.0,500-750,330-420,6271.678641972015,1794.4056013974,0.28611249138128386
3.0,5.0,5.0,1.0,500-750,330-420,6271.678641972015,2875.19551057895,0.45844114067599884
3.0,10.0,5.0,1.0,500-750,330-420,6271.678641972015,2600.858926940768,0.414699010490591
3.0,20.0,5.0,1.0,500-750,330-420,6271.678641972015,1751.0206317353761,0.2791948905061883
3.0,50.0,5.0,1.0,500-750,330-420,6271.678641972015,593.9009396403161,0.09469569050712312
3.0,100.0,5.0,1.0,500-750,330-420,6271.678641972015,65.2683635306037,0.010406841175472161
4.0,0.1,5.0,1.0,500-750,330-420,6271.678641972015,341.2504982442092,0.05441134945283313
4.0,0.5,5.0,1.0,500-750,330-420,6271.678641972015,1034.5497652048248,0.16495579959746304
4.0,1.0,5.0,1.0,500-750,330-420,6271.678641972015,1175.776757234046,0.18747401203967692
4.0,5.0,5.0,1.0,500-750,330-420,6271.678641972015,1993.3470136593137,0.3178330918167934
4.0,10.0,5.0,1.0,500-750,330-420,6271.678641972015,1849.3010578302117,0.29486540420839114
4.0,20.0,5.0,1.0,500-750,330-420,6271.678641972015,1328.1758265797716,0.21177357808023006
4.0,50.0,5.0,1.0,500-750,330-420,6271.678641972015,580.7444122258116,0.09259792240298957
4.0,100.0,5.0,1.0,500-750,330-420,6271.678641972015,73.68607778087045,0.011749019997252474
5.0,0.1,5.0,1.0,500-750,330-420,6271.678641972015,195.7210708247642,0.03120712683123434
5.0,0.5,5.0,1.0,500-750,330-420,6271.678641972015,416.19759784036324,0.06636143552621464
5.0,1.0,5.0,1.0,500-750,330-420,6271.678641972015,711.4590192467192,0.11343996717009944
5.0,5.0,5.0,1.0,500-750,330-420,6271.678641972015,1447.1644444571434,0.23074594970033557
5.0,10.0,5.0,1.0,500-750,330-420,6271.678641972015,1057.4288642379265,0.16860380204452524
5.0,20.0,5.0,1.0,500-750,330-420,6271.678641972015,804.5564981281285,0.12828407577259895
5.0,50.0,5.0,1.0,500-750,330-420,6271.678641972015,325.7777145663556,0.05194426136348095
5.0,100.0,5.0,1.0,500-750,330-420,6271.678641972015,58.24749722940583,0.009287385491915283
